Library,Top-level package,Usage pattern,Common classes,Import count,Example usage
org.apache.logging.log4j:log4j-api:2.25.4,org.apache.logging.log4j,,"LogManager, Logger",1,
net.sf.xmldb-org:xmldb-api:2.0.0,net.sf.xmldb-org,,"XMLDBException, ResourceSet",1,
junit:junit:4.13.2,junit,,"Test, ClassRule",1,
commons-io:commons-io:2.22.0,commons-io,,UnsynchronizedByteArrayOutputStream,1,
org.apache.lucene:lucene-core:10.4.0,org.apache.lucene,,RegExp,1,
com.google.code.findbugs:jsr305:3.0.2,com.google.code.findbugs,,Nullable,1,
org.apache.lucene:lucene-facet:10.4.0,org.apache.lucene,,SearcherTaxonomyManager.SearcherAndTaxonomy,1,
org.apache.lucene:lucene-analysis-icu:10.4.0,org.apache.lucene,,ICUCollationAttributeFactory,1,
org.apache.lucene:lucene-analysis-common:10.4.0,org.apache.lucene,,KeywordTokenizer,1,
com.ibm.icu:icu4j:77.1,com.ibm.icu,,Collator,1,
org.easymock:easymock:5.6.0,org.easymock,,Capture,1,
io.github.hakky54:logcaptor:2.12.6,io.github.hakky54,,LogCaptor,1,
org.apache.xmlgraphics:xmlgraphics-commons:2.11,org.apache.xmlgraphics,,"URIResolverAdapter, ResourceResolver",1,
org.apache.xmlgraphics:fop-core:2.11,org.apache.xmlgraphics,,"FOUserAgent, EnvironmentalProfileFactory, ConfigurationException, ResourceResolverFactory.SchemeAwareResourceResolverBuilder, FopFactoryBuilder, FopFactory, ResourceResolverFactory, EnvironmentProfile",1,
org.apache.avalon.framework:avalon-framework-api:4.3.1,org.apache.avalon.framework,,"ConfigurationException, Configuration",1,
org.apache.avalon.framework:avalon-framework-impl:4.3.1,org.apache.avalon.framework,,"SAXConfigurationHandler, DefaultConfigurationBuilder",1,
org.apache.xmlgraphics:fop-events:2.11,org.apache.xmlgraphics,,"EventFormatter, EventListener, Event, EventSeverity",1,
org.openjdk.jmh:jmh-core:1.37,org.openjdk.jmh,,"Scope, Benchmark, State",1,
com.siemens.ct.exi:exificient:1.0.7,com.siemens.ct.exi,,SAXDecoder,1,
com.siemens.ct.exi:exificient-core:1.0.7,com.siemens.ct.exi,,"DefaultEXIFactory, EXIFactory, EXIException, Grammars",1,
com.siemens.ct.exi:exificient-grammars:1.0.7,com.siemens.ct.exi,,GrammarFactory,1,
com.evolvedbinary.j8fu:j8fu:1.24.0,com.evolvedbinary.j8fu,,ConsumerE,1,
org.xmlunit:xmlunit-core:2.11.0,org.xmlunit,,"DiffBuilder, Input, Diff",1,
org.expath.tools:tools-java:0.8.0,org.expath.tools,,"Attribute, ToolsException, Element, Sequence",1,
org.expath.http.client:http-client-java:1.4.2,org.expath.http.client,,HttpConstants,1,
org.apache.httpcomponents:httpcore:4.4.16,org.apache.httpcomponents,,HttpStatus,1,
com.fasterxml.jackson.core:jackson-databind:2.21.2,com.fasterxml.jackson.core,,"ObjectMapper, ArrayNode, JsonNode, ObjectNode",1,
com.microsoft.onnxruntime:onnxruntime:1.25.0,com.microsoft.onnxruntime,,"OnnxTensor, OnnxValue, OrtException, OrtEnvironment, OrtSession.Result, OrtSession, OrtSession.SessionOptions",1,
ai.djl.huggingface:tokenizers:0.36.0,ai.djl.huggingface,,"HuggingFaceTokenizer, Encoding",1,
org.apache.commons:commons-compress:1.28.0,org.apache.commons,,"TarArchiveEntry, TarArchiveOutputStream",1,
commons-codec:commons-codec:1.22.0,commons-codec,,Base64,1,
org.exquery:exquery-restxq-api:0.2.1,org.exquery,,Namespace,1,
org.exquery:exquery-xquery:0.2.1,org.exquery,,FunctionSignature,1,
org.exquery:exquery-common:0.2.1,org.exquery,,ExQueryException,1,
org.exquery:exquery-xquery3:0.2.1,org.exquery,,Annotation,1,
org.exquery:exquery-serialization-annotations:0.2.1,org.exquery,,"MethodAnnotation, EncodingAnnotation, AbstractYesNoSerializationAnnotation, MediaTypeAnnotation",1,
org.exquery:exquery-serialization-annotations-api:0.2.1,org.exquery,,SerializationAnnotation,1,
org.exquery:exquery-restxq:0.2.1,org.exquery,,"SerializationProperty, AbstractRestXqServiceSerializer",1,
com.github.ben-manes.caffeine:caffeine:3.2.3,com.github.ben-manes.caffeine,,"Caffeine, Cache",1,
org.jctools:jctools-core:4.0.6,org.jctools,,MpmcAtomicArrayQueue,1,
org.eclipse.jetty.toolchain:jetty-jakarta-servlet-api:5.0.2,org.eclipse.jetty.toolchain,,HttpServletResponse,1,
net.bytebuddy:byte-buddy:1.18.8,net.bytebuddy,,"MethodCall, DynamicType.Builder, ByteBuddy, DynamicType, ElementMatchers",1,
org.apache.commons:commons-collections4:4.5.0,org.apache.commons,,"DualHashBidiMap, BidiMap",1,
org.exquery:exquery-annotations-common-api:0.2.1,org.exquery,,AnnotationException,1,
org.apache.httpcomponents:fluent-hc:4.5.14,org.apache.httpcomponents,,Executor,1,
com.googlecode.junit-toolbox:junit-toolbox:2.4,com.googlecode.junit-toolbox,,ParallelRunner,1,
org.hamcrest:hamcrest:3.0,org.hamcrest,,"DiagnosingMatcher, Description",1,
io.lacuna:bifurcan:0.2.0-rc1,io.lacuna,,IEntry,1,
com.ibm.icu:icu4j:59.2,com.ibm.icu,,Collator,1,
org.apache.commons:commons-lang3:3.20.0,org.apache.commons,,StringUtils,1,
com.fasterxml.jackson.core:jackson-core:2.21.2,com.fasterxml.jackson.core,,"JsonParseException, JsonGenerator, JsonParser, JsonGenerationException, JsonFactory",1,
xerces:xercesImpl:2.12.2,xerces,,XMLChar,1,
net.sf.saxon:Saxon-HE:9.9.1-8,net.sf.saxon,,"XPathException, Replace, Configuration, RegularExpression",1,
at.yawk.lz4:lz4-java:1.11.0,at.yawk.lz4,,"XXHash64, XXHashFactory",1,
net.jcip:jcip-annotations:1.0,net.jcip,,NotThreadSafe,1,
it.unimi.dsi:fastutil:8.5.18,it.unimi.dsi,,"IntArrayList, IntList",1,
org.apache.ant:ant:1.10.17,org.apache.ant,,DirectoryScanner,1,
com.github.krukow:clj-ds:0.0.4,com.github.krukow,,"ISeq, IPersistentVector, PersistentVector, RT, ITransientCollection",1,
antlr:antlr:2.7.7,antlr,,"ANTLRException, AST, TokenStreamException, RecognitionException",1,
